Open,High,Low,Close,Adj Close,Volume,Sentiment1,Sentiment2
173.8000030517578,177.99000549316406,173.17999267578125,177.49000549316406,177.49000549316406,57224100,0.948,0.09635164141414142
176.80999755859375,179.0500030517578,175.8000030517578,178.99000549316406,178.99000549316406,42390800,-0.2204,0.07187500000000001
178.10000610351562,179.72000122070312,177.9499969482422,178.38999938964844,178.38999938964844,43698000,0.9768,0.17013403263403265
178.1999969482422,179.85000610351562,177.60000610351562,179.8000030517578,179.8000030517578,47551100,0.9854,0.14362792844410494
180.07000732421875,182.33999633789065,179.0399932861328,180.7100067138672,180.7100067138672,56743100,0.9934,0.10663893398268398
181.4199981689453,181.92999267578125,178.13999938964844,178.85000610351562,178.85000610351562,51427100,0.9951,0.19136363636363637
176.75,179.0800018310547,176.50999450683594,178.72000122070312,178.72000122070312,52517000,0.9938,0.17542929292929293
176.64999389648438,178.4199981689453,174.8000030517578,177.14999389648438,177.14999389648438,57549400,0.9906,0.07368827160493828
175.5800018310547,177.5800018310547,175.11000061035156,175.83999633789062,175.83999633789062,54764400,0.9832,0.08662190082644629
176.0399932861328,177.83999633789062,175.19000244140625,175.4600067138672,175.4600067138672,59302900,0.7783,0.07506459948320415
175.30999755859375,175.4199981689453,172.63999938964844,172.8800048828125,172.8800048828125,64189300,0.9081,0.04021418503976642
170.91000366210938,174.00999450683594,169.92999267578125,173.0,173.0,55980100,0.9587,0.054783340652905875
173.0500030517578,173.6699981689453,171.4499969482422,173.44000244140625,173.44000244140625,43816600,0.9904,0.11145640074211502
171.8800048828125,173.05999755859375,170.64999389648438,171.10000610351562,171.10000610351562,57157000,0.9851,0.0630459817959818
170.3699951171875,171.3800048828125,165.6699981689453,166.88999938964844,166.88999938964844,70625300,0.9866,0.07012948635289062
166.91000366210938,168.9600067138672,166.8300018310547,168.22000122070312,168.22000122070312,58499100,0.3301,0.15659603554340398
169.02000427246094,171.1699981689453,168.8699951171875,170.2899932861328,170.2899932861328,51131000,0.9968,0.18427730723382893
